Geo_FIPS,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_PUMA5,Geo_GEO_ID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A14001_001,SE_A14001_002,SE_A14001_003,SE_A14001_004,SE_A14001_005,SE_A14001_006,SE_A14001_007,SE_A14001_008,SE_A14001_009,SE_A14001_010,SE_A14001_011,SE_A14001_012,SE_A14001_013,SE_A14001_014,SE_A14001_015,SE_A14001_016,SE_A14001_017,PCT_SE_A14001_002,PCT_SE_A14001_003,PCT_SE_A14001_004,PCT_SE_A14001_005,PCT_SE_A14001_006,PCT_SE_A14001_007,PCT_SE_A14001_008,PCT_SE_A14001_009,PCT_SE_A14001_010,PCT_SE_A14001_011,PCT_SE_A14001_012,PCT_SE_A14001_013,PCT_SE_A14001_014,PCT_SE_A14001_015,PCT_SE_A14001_016,PCT_SE_A14001_017
"06037195600","Census Tract 1956, Los Angeles County, California","ca","140","00",,,,"06","037",,,"195600",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06037195600","Census Tract 1956",,,,1178,90,19,26,113,28,61,23,8,0,48,121,181,144,75,89,152,7.64,1.61,2.21,9.59,2.38,5.18,1.95,0.68,0,4.07,10.27,15.37,12.22,6.37,7.56,12.9
"06037195710","Census Tract 1957.10, Los Angeles County, California","ca","140","00",,,,"06","037",,,"195710",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06037195710","Census Tract 1957.10",,,,1494,110,44,78,81,52,49,49,57,38,144,302,163,86,23,90,128,7.36,2.95,5.22,5.42,3.48,3.28,3.28,3.82,2.54,9.64,20.21,10.91,5.76,1.54,6.02,8.57
"06037195720","Census Tract 1957.20, Los Angeles County, California","ca","140","00",,,,"06","037",,,"195720",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06037195720","Census Tract 1957.20",,,,863,37,22,35,55,30,45,0,28,51,30,89,141,88,21,123,68,4.29,2.55,4.06,6.37,3.48,5.21,0,3.24,5.91,3.48,10.31,16.34,10.2,2.43,14.25,7.88
"06037195802","Census Tract 1958.02, Los Angeles County, California","ca","140","00",,,,"06","037",,,"195802",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06037195802","Census Tract 1958.02",,,,1091,112,0,0,45,11,38,87,48,17,56,32,153,101,194,38,159,10.27,0,0,4.12,1.01,3.48,7.97,4.4,1.56,5.13,2.93,14.02,9.26,17.78,3.48,14.57
"06037195803","Census Tract 1958.03, Los Angeles County, California","ca","140","00",,,,"06","037",,,"195803",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06037195803","Census Tract 1958.03",,,,1081,12,20,12,35,37,47,19,19,72,31,115,183,131,71,162,115,1.11,1.85,1.11,3.24,3.42,4.35,1.76,1.76,6.66,2.87,10.64,16.93,12.12,6.57,14.99,10.64
"06037195804","Census Tract 1958.04, Los Angeles County, California","ca","140","00",,,,"06","037",,,"195804",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06037195804","Census Tract 1958.04",,,,1082,41,49,10,24,26,27,19,80,24,91,116,45,135,121,150,124,3.79,4.53,0.92,2.22,2.4,2.5,1.76,7.39,2.22,8.41,10.72,4.16,12.48,11.18,13.86,11.46
"06037195901","Census Tract 1959.01, Los Angeles County, California","ca","140","00",,,,"06","037",,,"195901",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06037195901","Census Tract 1959.01",,,,1189,60,82,30,136,38,21,0,23,35,7,42,222,159,14,138,182,5.05,6.9,2.52,11.44,3.2,1.77,0,1.93,2.94,0.59,3.53,18.67,13.37,1.18,11.61,15.31
"06037195902","Census Tract 1959.02, Los Angeles County, California","ca","140","00",,,,"06","037",,,"195902",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06037195902","Census Tract 1959.02",,,,1028,23,0,0,18,0,36,36,88,28,50,46,20,134,126,110,313,2.24,0,0,1.75,0,3.5,3.5,8.56,2.72,4.86,4.47,1.95,13.04,12.26,10.7,30.45
"06037195903","Census Tract 1959.03, Los Angeles County, California","ca","140","00",,,,"06","037",,,"195903",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06037195903","Census Tract 1959.03",,,,870,27,23,27,10,38,28,19,3,44,46,85,183,105,90,43,99,3.1,2.64,3.1,1.15,4.37,3.22,2.18,0.34,5.06,5.29,9.77,21.03,12.07,10.34,4.94,11.38
"06037197200","Census Tract 1972, Los Angeles County, California","ca","140","00",,,,"06","037",,,"197200",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06037197200","Census Tract 1972",,,,1165,14,7,16,58,18,54,51,40,62,93,107,103,197,167,82,96,1.2,0.6,1.37,4.98,1.55,4.64,4.38,3.43,5.32,7.98,9.18,8.84,16.91,14.33,7.04,8.24
"06037197300","Census Tract 1973, Los Angeles County, California","ca","140","00",,,,"06","037",,,"197300",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06037197300","Census Tract 1973",,,,1824,56,26,87,83,112,44,16,68,0,55,88,256,215,133,136,449,3.07,1.43,4.77,4.55,6.14,2.41,0.88,3.73,0,3.02,4.82,14.04,11.79,7.29,7.46,24.62
